CNPJ,Nome,Endereço,Setor,Faturamento (em M R$)
02.738.361/0001-65,UNIFAVIP (SOCIEDADE DE EDUCACAO DO VALE DO IPOJUCA LTDA)," 55.024-743 Rua Gumercindo Pereira dos Santos, 800 - Indianopolis",Serviços,489.3
35.474.949/0001-08,LOCAR (LOCAR SANEAMENTO AMBIENTAL LTDA)," 55.034-655 Avenida Coronel Antonio Rodrigues da Silva, 246 - Agamenon Magalhaes",Serviços,415.1
12.023.966/0001-23,BONANZA SUPERMERCADOS (BONANZA SUPERMERCADOS LTDA EM RECUPERACAO JUDICIAL)," 55.026-333 Rua Antonio Martins, 15 - Santa Rosa",Comércio Varejista,356.2
04.917.296/0001-60,AVIL TEXTIL (AVIL TEXTIL LTDA)," 55.032-640 Avenida Jose Pinheiro dos Santos, 250 - Agamenon Magalhaes",Comércio Atacadista,326.1
09.991.639/0001-50,CIPAN (CIPAN COM E IND DE PRODS ALIMENTICIOS DO NORDESTE LTDA)," 55.040-145 Avenida Joao Soares Machado, 1300 - Alto do Moura",Indústrias da transformação,323.5
31.584.373/0001-80,ANDRADE DISTRIBUIDOR (PESSOA PERNAMBUCO DISTRIBUIDOR DE ALIMENTOS LTDA),"Rodovia Br 104 Km 68,8, 2220 - Agamenon Magalhaes",Comércio Atacadista,226.7
10.928.726/0001-42,DOKAPACK (DOKAPACK INDUSTRIA E COMERCIO DE EMBALAGENS LTDA)," 55.045-035 Rua Hermes Viegas Rocha, 160 - Distrito Industrial",Indústrias da transformação,206.1
07.649.462/0001-83,ALIANCA DISTRIBUIDORA (ALIANCA DISTRIBUIDORA DE GENEROS ALIMENTICIOS LTDA EM RECUPERACAO JUDICIAL),Rodovia Br 232 Km 138 - Distrito Industrial,Comércio Atacadista,184.7
02.380.966/0001-27,ELO COMUNICACAO LTDA," 55.026-675 Avenida Jose Marques Fontes, 1265 - Indianopolis",Outros,182.4
12.915.386/0001-40,VIANA MOURA PREMOLDADOS (VIANA MOURA PREMOLDADOS LTDA)," 55.040-150 Via Ferrea, 835 - Alto do Moura",Indústrias da transformação,166.0
47.962.730/0001-37,CARUARU CONNECT (VCA LOTEAR CONNECT CARUARU EMPREENDIMENTOS IMOBILIARIOS SPE LTDA)," 55.012-040 Avenida Oswaldo Cruz, 217 - Mauricio de Nassau",Imobiliário,134.4
08.939.548/0001-03,HEBRON (INFAN INDUSTRIA QUIMICA FARMACEUTICA NACIONAL SA), 55.034-640 Rodovia Br-232 - Agamenon Magalhaes,Produtos farmacêuticos,114.0
04.811.902/0001-69,MEDITERRANEA (MEDITERRANEA DISTRIBUIDORA DE BEBIDAS LTDA)," 55.045-055 Rua Humberto de Franca e Silva, 455 - Distrito Industrial",Comércio Atacadista,112.9
46.404.389/0001-31,TAMANDARE SUMMER CLUB (TAMANDARE SUMMER CLUB RESIDENCE EMPREENDIMENTO IMOBILIARIO SPE LTDA SCP),"Avenida Campina Grande, 2227 - Severino Afonso",Construção,104.1
